number,value,state,param_learning_rate,param_max_depth,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_n_estimators,param_reg_alpha,param_reg_lambda
0,0.4249284578696344,TrialState.COMPLETE,0.012873596485382529,4,120,49,0.9559723960419462,0.6548199060606051,280,0.48078516988409353,0.29141702498953864
1,0.38236535793981064,TrialState.COMPLETE,0.047573459943487766,8,55,10,0.7572774672870324,0.738891477283661,264,0.03922545658013943,0.28890166911507653
2,0.4229151405765034,TrialState.COMPLETE,0.011819789599997734,4,59,26,0.9238887493841043,0.809460639258845,193,0.4685510857034235,0.22621995340372314
3,0.39883597550085625,TrialState.COMPLETE,0.016861740425074354,5,44,13,0.7836168059797279,0.9202940906375227,477,0.3483089054426127,0.20036446211955428
4,0.3943583937561728,TrialState.COMPLETE,0.03337956998197242,7,79,52,0.9851472553503472,0.6830811859540097,206,0.4577413607408064,0.07962958315112778
5,0.39465717602890593,TrialState.COMPLETE,0.036483725274931704,4,81,25,0.6787613407433881,0.7370010336357683,433,0.4005578366215135,0.35986986289816303
6,0.34209304187685163,TrialState.COMPLETE,0.050606788754225626,8,49,21,0.9774029819643218,0.7110273483698388,300,0.03193952222828733,0.3484581450588771
7,0.417622011136587,TrialState.COMPLETE,0.01210734765870881,9,103,14,0.9955079516150223,0.6650609125483652,345,0.23089193884693404,0.49799260688816765
8,0.4171483622350674,TrialState.COMPLETE,0.011926849588782892,7,112,15,0.9652867727056351,0.6740855047313777,269,0.23133787565700176,0.3270056195472148
9,0.41622562734414925,TrialState.COMPLETE,0.015371046754896794,10,95,26,0.8273561231051775,0.7648613803499665,230,0.4677829468040063,0.05076997996562249
10,0.2878167838070945,TrialState.COMPLETE,0.09386990512558063,6,17,50,0.8901328067275582,0.6176569070858988,376,0.3363116500004219,0.1319322988017796
11,0.4271085138507514,TrialState.COMPLETE,0.020742020998772814,4,121,40,0.8984569294516207,0.83538106473542,161,0.4839386382857638,0.20229808174140035
12,0.42347751501041536,TrialState.COMPLETE,0.019372430520525816,5,128,43,0.8831322463348655,0.8336493615792555,160,0.48948280979529957,0.1500967908266034
13,0.4204426213870075,TrialState.COMPLETE,0.022389817832183835,5,128,38,0.9057908758610376,0.86298379927181,151,0.39446965124259326,0.24339630281853245
14,0.42369869340911404,TrialState.COMPLETE,0.010281616734151375,4,112,56,0.8391258860494447,0.9969753650285126,357,0.4991484175111196,0.1753329083398572
15,0.4084170739389752,TrialState.COMPLETE,0.023089976858589788,6,96,43,0.8633176463166178,0.6132046693872453,298,0.3120289403436647,0.015453596571284367
16,0.40644595910418696,TrialState.COMPLETE,0.0149052793534749,6,113,37,0.9259716586117211,0.7890390354858409,396,0.427612417473463,0.2647856677092871
17,0.42047519799916633,TrialState.COMPLETE,0.02608336855185716,4,88,46,0.9369539984195966,0.7640690937309849,228,0.42510873473273264,0.13788483044729516
18,0.41927357184466757,TrialState.COMPLETE,0.017892057289064834,5,68,32,0.9520237884285071,0.8643326681018162,181,0.3795303230118885,0.20361799812942413
19,0.42348322442337993,TrialState.COMPLETE,0.014222291007426474,6,120,58,0.8720620911646049,0.6516275176914637,251,0.44399244280923833,0.3024269564433736
20,0.42559464090018057,TrialState.COMPLETE,0.010347565747106215,4,19,49,0.9295777974045977,0.7251984074448725,322,0.49718218515027424,0.37470796586240485
21,0.42425612393287976,TrialState.COMPLETE,0.010012817283044824,4,26,52,0.9406967216412365,0.7186827824526205,308,0.4942236527573965,0.38587909981141943
22,0.42277809681451206,TrialState.COMPLETE,0.012917085769281769,5,37,47,0.9104470981785281,0.69588349119023,330,0.49983881287987914,0.41154111394205406
23,0.42096948675240825,TrialState.COMPLETE,0.017972483342106094,4,65,40,0.9607532251201074,0.6514017920574268,397,0.43417284846179144,0.27255840630118433
24,0.4147411576429971,TrialState.COMPLETE,0.014351138386097095,5,103,56,0.9975122784381022,0.6065252856262853,444,0.4418709181026072,0.3141592936231269
25,0.42440545808966856,TrialState.COMPLETE,0.010847170450374555,4,34,60,0.9068201506582872,0.7233638117526882,282,0.3841993033841265,0.24087397458940146
26,0.4260850294909822,TrialState.COMPLETE,0.013033133071772141,5,119,32,0.9509151366966102,0.7640333734457954,325,0.4709620988579936,0.41426586103190377
27,0.3876940697378468,TrialState.COMPLETE,0.02030012810010366,5,74,32,0.861572427795319,0.7787744479083006,495,0.41574953537073633,0.4300290882484056
28,0.413781490593749,TrialState.COMPLETE,0.01594496664292448,6,102,35,0.9021548081486694,0.7526415920951612,319,0.45818979714846303,0.45213691137106904
29,0.40103903454688794,TrialState.COMPLETE,0.012332644723060518,7,119,32,0.9538282232320867,0.812465707301318,428,0.46813291609889496,0.3686264257672302
30,0.42566502919640375,TrialState.COMPLETE,0.0136765426181054,4,16,42,0.9452442908645176,0.7927873066325325,235,0.3622879267033112,0.3872036466178907
31,0.4230608291359938,TrialState.COMPLETE,0.013497719987090246,4,26,42,0.9306881513072774,0.789238034252918,235,0.4662068868242055,0.3963939180804865
32,0.41827583184832456,TrialState.COMPLETE,0.010208167960951591,4,16,46,0.9715488693987573,0.7596303913660272,175,0.4160277303246741,0.43613341599115635
33,0.4192892146769345,TrialState.COMPLETE,0.016161777509707414,5,25,35,0.9378743348097445,0.7508772924003443,211,0.49769721850807186,0.33934083295248746
34,0.424870709185507,TrialState.COMPLETE,0.01333594829744038,4,54,29,0.917446074461893,0.8087596801851065,284,0.36038927607675386,0.3065993592018452
35,0.42515321837985454,TrialState.COMPLETE,0.011187973772690504,5,35,39,0.9725284311706415,0.7308410802612878,260,0.305720606237364,0.37344272375030674
36,0.4247885280924564,TrialState.COMPLETE,0.017042853641653814,4,41,49,0.8930303130028406,0.8325226511268673,195,0.4584717306995489,0.3379478603686231
37,0.42503406102468244,TrialState.COMPLETE,0.012482388584746084,8,23,20,0.7934262935577605,0.708179603539357,248,0.3941849702134095,0.4657345527467577
38,0.42513857419501533,TrialState.COMPLETE,0.011502561540097605,4,48,43,0.9981135260246659,0.7410382125533631,340,0.445063183327027,0.38778597591182484
39,0.41476434258230244,TrialState.COMPLETE,0.014170991352449114,5,60,29,0.9768990613489321,0.7914036172436306,362,0.47114579665567535,0.4189191405571119
40,0.4171485408904699,TrialState.COMPLETE,0.0158619230404335,9,83,35,0.9490810212965182,0.7680712631963876,221,0.41561563080329156,0.2801772300129981
41,0.423153849788179,TrialState.COMPLETE,0.011465931562730625,5,29,40,0.975042002860261,0.7246140270728076,263,0.27793667714659204,0.36337890661521577
42,0.42659567058022274,TrialState.COMPLETE,0.011685196665229772,4,33,39,0.9623958835077356,0.7373897838991595,314,0.3341705486139093,0.36785917879202584
43,0.4236865483222418,TrialState.COMPLETE,0.012847876874515694,4,19,52,0.9232146155386972,0.6971902578874972,310,0.3765594787173242,0.4036495675828469
44,0.4258405777822988,TrialState.COMPLETE,0.011438360091926855,4,30,48,0.9532434168025948,0.742934231366066,292,0.34271242423105813,0.34565855553171165
45,0.42450347351200124,TrialState.COMPLETE,0.014862545836558614,4,118,45,0.9565920348192858,0.7443762980062223,287,0.3603261953905587,0.34974894238761817
46,0.4221206377522578,TrialState.COMPLETE,0.011712213403011726,5,32,41,0.9868800777304361,0.7741556358736433,336,0.34170093101970556,0.32985522370138387
47,0.4230613007522461,TrialState.COMPLETE,0.013495241933494202,4,45,37,0.8858895175959468,0.8129033531308192,298,0.32244436390839265,0.2878582566231155
48,0.41039143408811657,TrialState.COMPLETE,0.01870883416720756,4,108,45,0.9610678878710928,0.756545100719766,379,0.2566388210279534,0.3527820242736815
49,0.425023830654439,TrialState.COMPLETE,0.020581114409152054,5,40,30,0.9823736534139172,0.7733730320255566,172,0.4031785195740155,0.3167809356047912
