code,name,status,entry_date,entry_price,exit_date,exit_price,return,days_held,exit_reason,probability,report_file,report_date
9984,ソフトバンクG,利確,2025-08-02,11275.0,2025-08-05,11838.75,0.05,2,利確達成,93.8,20250801_prediction_report.md,2025-08-01
9433,KDDI,データなし,2025-08-02,0.0,,0.0,0.0,0,データなし,90.5,20250801_prediction_report.md,2025-08-01
8035,東京エレクトロン,利確,2025-08-02,21470.0,2025-08-04,22543.5,0.05,1,利確達成,88.6,20250801_prediction_report.md,2025-08-01
4478,フリー,損切り,2025-08-02,4195.0,2025-08-14,3859.4,-0.08,8,損切り執行,87.3,20250801_prediction_report.md,2025-08-01
6098,リクルートHD,利確,2025-08-02,8640.0,2025-08-13,9072.0,0.05,7,利確達成,86.9,20250801_prediction_report.md,2025-08-01
4478,フリー,損切り,2025-08-03,4195.0,2025-08-14,3859.4,-0.08,8,損切り執行,93.7,20250802_prediction_report.md,2025-08-02
7974,任天堂,利確,2025-08-03,12500.0,2025-08-04,13125.0,0.05,1,利確達成,92.1,20250802_prediction_report.md,2025-08-02
9433,KDDI,データなし,2025-08-03,0.0,,0.0,0.0,0,データなし,89.3,20250802_prediction_report.md,2025-08-02
6098,リクルートHD,利確,2025-08-03,8640.0,2025-08-13,9072.0,0.05,7,利確達成,87.9,20250802_prediction_report.md,2025-08-02
9984,ソフトバンクG,利確,2025-08-03,11275.0,2025-08-05,11838.75,0.05,2,利確達成,86.1,20250802_prediction_report.md,2025-08-02
4519,中外製薬,損切り,2025-08-03,7300.0,2025-08-08,6716.0,-0.08,5,損切り執行,84.8,20250802_prediction_report.md,2025-08-02
6098,リクルートHD,利確,2025-08-05,8703.0,2025-08-13,9138.15,0.05,6,利確達成,91.5,20250804_prediction_report.md,2025-08-04
9433,KDDI,データなし,2025-08-05,0.0,,0.0,0.0,0,データなし,89.6,20250804_prediction_report.md,2025-08-04
7203,トヨタ自動車,利確,2025-08-05,2671.5,2025-08-12,2805.0750000000003,0.05,5,利確達成,89.1,20250804_prediction_report.md,2025-08-04
4519,中外製薬,損切り,2025-08-05,7308.0,2025-08-08,6723.360000000001,-0.08,4,損切り執行,85.5,20250804_prediction_report.md,2025-08-04
4478,フリー,損切り,2025-08-05,4300.0,2025-08-06,3956.0,-0.08,2,損切り執行,84.0,20250804_prediction_report.md,2025-08-04
7974,任天堂,利確,2025-08-05,13640.0,2025-08-08,14322.0,0.05,4,利確達成,80.5,20250804_prediction_report.md,2025-08-04
9433,KDDI,データなし,2025-08-06,0.0,,0.0,0.0,0,データなし,94.9,20250805_prediction_report.md,2025-08-05
9984,ソフトバンクG,利確,2025-08-06,11800.0,2025-08-06,12390.0,0.05,1,利確達成,89.1,20250805_prediction_report.md,2025-08-05
6098,リクルートHD,利確,2025-08-06,8600.0,2025-08-13,9030.0,0.05,5,利確達成,88.6,20250805_prediction_report.md,2025-08-05
9433,KDDI,データなし,2025-08-07,0.0,,0.0,0.0,0,データなし,93.0,20250806_prediction_report.md,2025-08-06
7203,トヨタ自動車,利確,2025-08-07,2723.0,2025-08-12,2859.15,0.05,3,利確達成,91.1,20250806_prediction_report.md,2025-08-06
7974,任天堂,利確,2025-08-07,13540.0,2025-08-08,14217.0,0.05,2,利確達成,81.9,20250806_prediction_report.md,2025-08-06
9984,ソフトバンクG,利確,2025-08-07,12500.0,2025-08-08,13125.0,0.05,2,利確達成,80.6,20250806_prediction_report.md,2025-08-06
9984,ソフトバンクG,利確,2025-08-08,13000.0,2025-08-08,13650.0,0.05,1,利確達成,95.3,20250807_prediction_report.md,2025-08-07
8035,東京エレクトロン,期間満了,2025-08-08,21040.0,2025-08-22,20095.0,-0.04491444866920152,10,保有期間満了,94.6,20250807_prediction_report.md,2025-08-07
6098,リクルートHD,利確,2025-08-08,8325.0,2025-08-12,8741.25,0.05,2,利確達成,91.2,20250807_prediction_report.md,2025-08-07
9433,KDDI,データなし,2025-08-08,0.0,,0.0,0.0,0,データなし,89.1,20250807_prediction_report.md,2025-08-07
7203,トヨタ自動車,利確,2025-08-08,2699.5,2025-08-12,2834.475,0.05,2,利確達成,88.3,20250807_prediction_report.md,2025-08-07
6758,ソニーG,利確,2025-08-08,4000.0,2025-08-15,4200.0,0.05,5,利確達成,82.8,20250807_prediction_report.md,2025-08-07
7203,トヨタ自動車,利確,2025-08-09,2802.0,2025-08-19,2942.1,0.05,6,利確達成,92.6,20250808_prediction_report.md,2025-08-08
9984,ソフトバンクG,利確,2025-08-09,14700.0,2025-08-14,15435.0,0.05,3,利確達成,85.2,20250808_prediction_report.md,2025-08-08
9433,KDDI,データなし,2025-08-09,0.0,,0.0,0.0,0,データなし,84.0,20250808_prediction_report.md,2025-08-08
7974,任天堂,期間満了,2025-08-12,14335.0,2025-08-25,13750.0,-0.040809208231600974,10,保有期間満了,94.1,20250811_prediction_report.md,2025-08-11
9433,KDDI,データなし,2025-08-12,0.0,,0.0,0.0,0,データなし,93.0,20250811_prediction_report.md,2025-08-11
4478,フリー,損切り,2025-08-12,3985.0,2025-08-14,3666.2000000000003,-0.08,3,損切り執行,80.5,20250811_prediction_report.md,2025-08-11
9984,ソフトバンクG,利確,2025-08-12,14700.0,2025-08-14,15435.0,0.05,3,利確達成,80.4,20250811_prediction_report.md,2025-08-11
9984,ソフトバンクG,利確,2025-08-13,14945.0,2025-08-14,15692.25,0.05,2,利確達成,94.6,20250812_prediction_report.md,2025-08-12
9433,KDDI,データなし,2025-08-13,0.0,,0.0,0.0,0,データなし,93.5,20250812_prediction_report.md,2025-08-12
6098,リクルートHD,利確,2025-08-13,8960.0,2025-08-18,9408.0,0.05,4,利確達成,93.0,20250812_prediction_report.md,2025-08-12
6758,ソニーG,利確,2025-08-13,4057.0,2025-08-15,4259.85,0.05,3,利確達成,89.8,20250812_prediction_report.md,2025-08-12
7974,任天堂,期間満了,2025-08-13,14190.0,2025-08-26,13525.0,-0.04686398872445384,10,保有期間満了,85.4,20250812_prediction_report.md,2025-08-12
8306,三菱UFJFG,利確,2025-08-13,2240.0,2025-08-15,2352.0,0.05,3,利確達成,83.6,20250812_prediction_report.md,2025-08-12
6098,リクルートHD,期間満了,2025-08-14,9138.0,2025-08-27,8650.0,-0.053403370540599696,10,保有期間満了,93.6,20250813_prediction_report.md,2025-08-13
9984,ソフトバンクG,利確,2025-08-14,14940.0,2025-08-14,15687.0,0.05,1,利確達成,88.9,20250813_prediction_report.md,2025-08-13
8035,東京エレクトロン,期間満了,2025-08-14,21495.0,2025-08-27,20335.0,-0.05396603861363108,10,保有期間満了,87.8,20250813_prediction_report.md,2025-08-13
7974,任天堂,損切り,2025-08-14,14450.0,2025-08-27,13294.0,-0.08,10,損切り執行,84.1,20250813_prediction_report.md,2025-08-13
9433,KDDI,データなし,2025-08-14,0.0,,0.0,0.0,0,データなし,81.6,20250813_prediction_report.md,2025-08-13
6098,リクルートHD,利確,2025-08-15,8647.0,2025-08-18,9079.35,0.05,2,利確達成,87.2,20250814_prediction_report.md,2025-08-14
8306,三菱UFJFG,期間満了,2025-08-15,2270.0,2025-08-28,2267.5,-0.0011013215859030838,10,保有期間満了,82.1,20250814_prediction_report.md,2025-08-14
9984,ソフトバンクG,利確,2025-08-15,15830.0,2025-08-18,16621.5,0.05,2,利確達成,81.7,20250814_prediction_report.md,2025-08-14
8035,東京エレクトロン,期間満了,2025-08-16,21430.0,2025-08-29,20665.0,-0.03569762015865609,10,保有期間満了,94.5,20250815_prediction_report.md,2025-08-15
9433,KDDI,データなし,2025-08-16,0.0,,0.0,0.0,0,データなし,94.1,20250815_prediction_report.md,2025-08-15
8306,三菱UFJFG,期間満了,2025-08-16,2352.5,2025-08-29,2259.0,-0.03974495217853347,10,保有期間満了,91.3,20250815_prediction_report.md,2025-08-15
6758,ソニーG,期間満了,2025-08-16,4222.0,2025-08-29,4083.0,-0.03292278540975841,10,保有期間満了,87.9,20250815_prediction_report.md,2025-08-15
4519,中外製薬,利確,2025-08-19,6305.0,2025-09-01,6620.25,0.05,10,利確達成,95.6,20250818_prediction_report.md,2025-08-18
8035,東京エレクトロン,期間満了,2025-08-19,21230.0,2025-09-01,20285.0,-0.044512482336316536,10,保有期間満了,89.7,20250818_prediction_report.md,2025-08-18
9433,KDDI,データなし,2025-08-19,0.0,,0.0,0.0,0,データなし,82.8,20250818_prediction_report.md,2025-08-18
7203,トヨタ自動車,期間満了,2025-08-19,2942.0,2025-09-01,2858.5,-0.028382053025152957,10,保有期間満了,80.7,20250818_prediction_report.md,2025-08-18
6758,ソニーG,期間満了,2025-08-20,4157.0,2025-09-02,4014.0,-0.034399807553524175,10,保有期間満了,83.7,20250819_prediction_report.md,2025-08-19
8306,三菱UFJFG,期間満了,2025-08-20,2260.0,2025-09-02,2272.0,0.005309734513274336,10,保有期間満了,80.9,20250819_prediction_report.md,2025-08-19
8306,三菱UFJFG,期間満了,2025-08-21,2259.0,2025-09-03,2200.5,-0.025896414342629483,10,保有期間満了,93.4,20250820_prediction_report.md,2025-08-20
4519,中外製薬,期間満了,2025-08-21,6441.0,2025-09-03,6444.0,0.0004657661853749418,10,保有期間満了,92.1,20250820_prediction_report.md,2025-08-20
6758,ソニーG,期間満了,2025-08-21,4136.0,2025-09-03,3990.0,-0.03529980657640232,10,保有期間満了,90.8,20250820_prediction_report.md,2025-08-20
9433,KDDI,データなし,2025-08-21,0.0,,0.0,0.0,0,データなし,88.7,20250820_prediction_report.md,2025-08-20
6098,リクルートHD,期間満了,2025-08-21,8961.0,2025-09-03,8555.0,-0.045307443365695796,10,保有期間満了,86.6,20250820_prediction_report.md,2025-08-20
8035,東京エレクトロン,期間満了,2025-08-21,20450.0,2025-09-03,19945.0,-0.02469437652811736,10,保有期間満了,84.3,20250820_prediction_report.md,2025-08-20
7203,トヨタ自動車,期間満了,2025-08-22,2926.0,2025-09-04,2905.0,-0.007177033492822967,10,保有期間満了,93.2,20250821_prediction_report.md,2025-08-21
8035,東京エレクトロン,期間満了,2025-08-22,20440.0,2025-09-04,20085.0,-0.017367906066536203,10,保有期間満了,90.3,20250821_prediction_report.md,2025-08-21
4519,中外製薬,利確,2025-08-22,6309.0,2025-09-01,6624.450000000001,0.05,7,利確達成,87.7,20250821_prediction_report.md,2025-08-21
6098,リクルートHD,期間満了,2025-08-22,8895.0,2025-09-04,8567.0,-0.036874648679033166,10,保有期間満了,85.0,20250821_prediction_report.md,2025-08-21
6758,ソニーG,期間満了,2025-08-22,4130.0,2025-09-04,4105.0,-0.006053268765133172,10,保有期間満了,82.6,20250821_prediction_report.md,2025-08-21
9984,ソフトバンクG,利確,2025-08-23,15500.0,2025-08-29,16275.0,0.05,5,利確達成,91.6,20250822_prediction_report.md,2025-08-22
8306,三菱UFJFG,期間満了,2025-08-23,2322.0,2025-09-05,2268.5,-0.023040482342807925,10,保有期間満了,87.4,20250822_prediction_report.md,2025-08-22
7974,任天堂,期間満了,2025-08-23,13890.0,2025-09-05,13270.0,-0.04463642908567315,10,保有期間満了,85.2,20250822_prediction_report.md,2025-08-22
6758,ソニーG,期間満了,2025-08-23,4249.0,2025-09-05,4092.0,-0.0369498705577783,10,保有期間満了,84.7,20250822_prediction_report.md,2025-08-22
9433,KDDI,データなし,2025-08-23,0.0,,0.0,0.0,0,データなし,80.0,20250822_prediction_report.md,2025-08-22
6098,リクルートHD,データ不足,2025-08-26,9027.0,2025-09-05,8461.0,-0.06270078652930099,9,データ不足,94.2,20250825_prediction_report.md,2025-08-25
7203,トヨタ自動車,データ不足,2025-08-26,2940.0,2025-09-05,2962.5,0.007653061224489796,9,データ不足,90.3,20250825_prediction_report.md,2025-08-25
7974,任天堂,データ不足,2025-08-26,13660.0,2025-09-05,13270.0,-0.02855051244509517,9,データ不足,87.1,20250825_prediction_report.md,2025-08-25
8035,東京エレクトロン,データ不足,2025-08-26,20120.0,2025-09-05,20240.0,0.005964214711729622,9,データ不足,80.5,20250825_prediction_report.md,2025-08-25
7203,トヨタ自動車,データ不足,2025-08-27,2903.0,2025-09-05,2962.5,0.020496038580778506,8,データ不足,86.5,20250826_prediction_report.md,2025-08-26
4519,中外製薬,利確,2025-08-27,6207.0,2025-08-29,6517.35,0.05,3,利確達成,83.7,20250826_prediction_report.md,2025-08-26
9433,KDDI,データなし,2025-08-28,0.0,,0.0,0.0,0,データなし,95.0,20250827_prediction_report.md,2025-08-27
4519,中外製薬,データ不足,2025-08-28,6399.0,2025-09-05,6615.0,0.03375527426160337,7,データ不足,92.0,20250827_prediction_report.md,2025-08-27
6758,ソニーG,データ不足,2025-08-28,4069.0,2025-09-05,4092.0,0.005652494470385844,7,データ不足,90.0,20250827_prediction_report.md,2025-08-27
9984,ソフトバンクG,利確,2025-08-28,15380.0,2025-08-29,16149.0,0.05,2,利確達成,80.6,20250827_prediction_report.md,2025-08-27
4478,フリー,利確,2025-08-29,3110.0,2025-09-01,3265.5,0.05,2,利確達成,82.8,20250828_prediction_report.md,2025-08-28
4519,中外製薬,データ不足,2025-08-29,6545.0,2025-09-05,6615.0,0.0106951871657754,6,データ不足,80.8,20250828_prediction_report.md,2025-08-28
9433,KDDI,データなし,2025-08-30,0.0,,0.0,0.0,0,データなし,95.5,20250829_prediction_report.md,2025-08-29
4478,フリー,利確,2025-08-30,3140.0,2025-09-01,3297.0,0.05,1,利確達成,87.2,20250829_prediction_report.md,2025-08-29
4519,中外製薬,データ不足,2025-08-30,6520.0,2025-09-05,6615.0,0.014570552147239263,5,データ不足,83.9,20250829_prediction_report.md,2025-08-29
9433,KDDI,データなし,2025-09-02,0.0,,0.0,0.0,0,データなし,92.4,20250901_prediction_report.md,2025-09-01
8035,東京エレクトロン,データ不足,2025-09-02,20410.0,2025-09-05,20240.0,-0.008329250367466928,4,データ不足,88.2,20250901_prediction_report.md,2025-09-01
7203,トヨタ自動車,利確,2025-09-02,2858.0,2025-09-05,3000.9,0.05,4,利確達成,85.9,20250901_prediction_report.md,2025-09-01
4478,フリー,データ不足,2025-09-02,3220.0,2025-09-05,3180.0,-0.012422360248447204,4,データ不足,85.6,20250901_prediction_report.md,2025-09-01
7974,任天堂,データ不足,2025-09-02,13175.0,2025-09-05,13270.0,0.007210626185958254,4,データ不足,83.8,20250901_prediction_report.md,2025-09-01
6758,ソニーG,データ不足,2025-09-02,4026.0,2025-09-05,4092.0,0.01639344262295082,4,データ不足,81.4,20250901_prediction_report.md,2025-09-01
6098,リクルートHD,データ不足,2025-09-03,8532.0,2025-09-05,8461.0,-0.008321612751992499,3,データ不足,82.3,20250902_prediction_report.md,2025-09-02
4519,中外製薬,データ不足,2025-09-03,6488.0,2025-09-05,6615.0,0.019574599260172628,3,データ不足,81.7,20250902_prediction_report.md,2025-09-02
7974,任天堂,データ不足,2025-09-03,13010.0,2025-09-05,13270.0,0.019984627209838585,3,データ不足,80.2,20250902_prediction_report.md,2025-09-02
9433,KDDI,データなし,2025-09-04,0.0,,0.0,0.0,0,データなし,91.1,20250903_prediction_report.md,2025-09-03
7203,トヨタ自動車,データ不足,2025-09-04,2874.0,2025-09-05,2962.5,0.030793319415448852,2,データ不足,86.9,20250903_prediction_report.md,2025-09-03
8306,三菱UFJFG,データ不足,2025-09-04,2215.0,2025-09-05,2268.5,0.02415349887133183,2,データ不足,85.6,20250903_prediction_report.md,2025-09-03
6098,リクルートHD,データ不足,2025-09-04,8610.0,2025-09-05,8461.0,-0.0173054587688734,2,データ不足,84.7,20250903_prediction_report.md,2025-09-03
6758,ソニーG,データ不足,2025-09-04,4060.0,2025-09-05,4092.0,0.007881773399014778,2,データ不足,83.9,20250903_prediction_report.md,2025-09-03
9433,KDDI,データなし,2025-09-05,0.0,,0.0,0.0,0,データなし,88.9,20250904_prediction_report.md,2025-09-04
8306,三菱UFJFG,データ不足,2025-09-05,2260.0,2025-09-05,2268.5,0.003761061946902655,1,データ不足,88.3,20250904_prediction_report.md,2025-09-04
7974,任天堂,データ不足,2025-09-05,13370.0,2025-09-05,13270.0,-0.0074794315632011965,1,データ不足,83.3,20250904_prediction_report.md,2025-09-04
7203,トヨタ自動車,データ不足,2025-09-05,3000.0,2025-09-05,2962.5,-0.0125,1,データ不足,82.8,20250904_prediction_report.md,2025-09-04
8035,東京エレクトロン,データ不足,2025-09-05,20180.0,2025-09-05,20240.0,0.002973240832507433,1,データ不足,80.3,20250904_prediction_report.md,2025-09-04
7974,任天堂,データなし,2025-09-06,0.0,,0.0,0.0,0,データなし,93.5,20250905_prediction_report.md,2025-09-05
7203,トヨタ自動車,データなし,2025-09-06,0.0,,0.0,0.0,0,データなし,89.8,20250905_prediction_report.md,2025-09-05
6098,リクルートHD,データなし,2025-09-06,0.0,,0.0,0.0,0,データなし,87.8,20250905_prediction_report.md,2025-09-05
9984,ソフトバンクG,データなし,2025-09-06,0.0,,0.0,0.0,0,データなし,82.0,20250905_prediction_report.md,2025-09-05
